Row Labels;Cardiovascular;Cancer;Chronic respiratory diseases;Tuberculosis;alzheimer;Diabetes mellitus - Sex: Both - Age: All Ages (Number);nutritional;Other;Sum of Deaths - Road injuries - Sex: Both - Age: All Ages (Number);Sum of Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number);Sum of Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number);Sum of Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number);Sum of Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number);Sum of Deaths - Intestinal infectious diseases - Sex: Both - Age: All Ages (Number);Sum of respiratory;Sum of Deaths - Meningitis - Sex: Both - Age: All Ages (Number);Sum of Deaths - Drowning - Sex: Both - Age: All Ages (Number);Sum of Deaths - Parkinson disease - Sex: Both - Age: All Ages (Number);Sum of Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number);Sum of drugs;Sum of Deaths - Malaria - Sex: Both - Age: All Ages (Number);Sum of Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number);Sum of Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number);Sum of Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number);Sum of Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number);Sum of Deaths - Hepatitis - Sex: Both - Age: All Ages (Number);Sum of Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number);Sum of Deaths - Poisonings - Sex: Both - Age: All Ages (Number);Sum of Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number);Sum of Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number);Sum of Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number);Sum of Deaths - Self-harm - Sex: Both - Age: All Ages (Number);Sum of fights;Terrorism (deaths)
1990;11885524;5720988;3292282;1601200;1017885;604209;562278;18354048;1144160,116;894842,1342;1706811,424;347027,6331;2564572,213;215509,8175;3393572,32;459434,0485;528189,9079;147270,7922;112279,9978;70264,07213;669574,4412;323474,769;2971272,811;610460,7367;99429,60248;146290,6351;145629,9987;76958,34923;50186,59032;58268,29383;506290,0659;753636,0059;351551,8258;7089
1991;12061400;5849582;3353546;1604738;1055382;623597;555138;18604873;1156530,631;915746,5643;1738773,196;440029,3489;2545780,556;215441,3662;3364843,916;457770,8528;527327,4799;151653,8322;118914,8901;76056,89417;689927,5034;320929,6141;2948161,883;622029,3173;89185,07025;147845,3316;146247,5612;77507,1329;149890,9415;60005,96634;499750,5127;772937,7061;363197,6607;8387
1992;12280165;5978037;3412960;1618047;1090009;645768;545896;18624136;1178352,281;935496,0048;1768675,517;545709,0761;2497030,325;215411,7471;3332545,233;457747,3863;527982,6325;155819,9214;130830,9723;82590,43168;708304,151;325362,4351;2924933,72;638044,1288;62269,48044;148911,4345;147375,2897;79146,44995;11528,52715;62981,68734;490757,9942;801016,5141;385639,9547;9673
1993;12641175;6139449;3459885;1614586;1129635;670923;535542;18803735;1200531,422;955239,3285;1794915,261;660520,2229;2449871,576;214714,0751;3294992,794;455029,3654;529961,3843;160971,3823;148800,8415;88072,42929;726312,9498;319740,061;2893455,386;652156,8574;63697,16701;149527,1853;149081,0173;81659,10787;21305,46875;68959,49874;481252,8165;827249,045;415717,9658;
1994;12870469;6256854;3496169;1612080;1163909;693752;528572;19408884;1221398,055;972786,5835;1816351,818;782587,7072;2402449,832;214610,5858;3248162,127;450041,3945;526614,3317;165299,3716;162288,9931;93172,32112;739519,8439;316339,1;2847125,192;665494,7117;568682,0264;149127,4574;149946,5591;82680,89127;11530,09995;73294,89735;474883,6453;846160,4294;420653,1324;7683
1995;12981390;6365647;3517112;1603887;1199056;717696;595296;19072702;1237874,895;989513,8692;1836361,64;907692,8999;2352946,163;212856,0139;3207801,405;447294,8476;520305,2186;169860,8102;163661,1907;97006,95719;757742,6727;315108,2485;2810423,493;679584,7582;65998,77007;149065,1651;148528,3165;82208,45748;20771,24327;73774,75873;542263,7977;853895,7313;424104,9735;6056
1996;13024291;6440514;3542648;1594467;1230733;742785;576962;19037989;1238640,07;1000267,119;1848179,092;1021222,47;2290077,61;210152,957;3154213,934;455817,5378;506199,6205;174170,4693;159017,153;98635,40448;772889,5728;310253,6306;2765548,806;694342,4867;86446,61772;147890,864;145465,9819;80627,54955;14052,16334;69526,902;525693,5922;842504,9075;419420,0588;6732
1997;13116299;6520237;3592969;1612063;1263373;770904;564000;19102808;1244426,239;1012497,537;1865811,848;1126681,16;2246896,112;207790,652;3117237,799;439754,0065;494205,566;179152,1343;154600,7408;99195,56822;792840,4181;310880,4483;2742579,412;715039,4508;118163,0699;148664,535;144545,2158;78893,36618;17245,56702;66309,21741;513182,6045;836956,7706;418362,4289;10896
1998;13218864;6627064;3620325;1616348;1299643;796599;550464;19165349;1248740,402;1021960,219;1880245,935;1250787,391;2210166,646;204981,5946;3071080,894;431259,2736;480836,7513;184788,6601;154607,3285;100391,3782;812237,3504;311011,5227;2718556,901;734809,5662;108639,1754;148747,344;141932,2793;77645,69359;43960,94691;67787,18924;500376,3371;833391,8006;421777,3962;4629
1999;13435331;6757118;3583683;1610356;1339154;821568;537953;19298570;1263703,461;1033416,465;1896189,734;1387288,465;2163251,562;202421,8889;3012803,679;426128,4697;466461,7184;190796,329;161731,8302;101201,5675;830018,9547;309325,5959;2682249,588;753753,2299;152024,0328;148447,4117;142478,3008;78132,98295;69459,71759;66168,36731;489117,8713;837074,9099;431581,6736;3342
